"prob.shock","innov","type","data.id","gel","gew","intra.ranks","ranks","crossclass","crossclass.shocked","rmse","T..24","T..23","T..22","T..21","T..20","T..19","T..18","T..17","T..16","T..15","T..14","T..13","T..12","T..11","T..10","T..9","T..8","T..7","T..6","T..5","T..4","T..3","T..2","T..1","T.0","T.1","T.2","T.3","T.4","T.5","T.6","T.7","T.8","T.9","T.10","T.11","T.12","T.13","T.14","T.15","T.16","T.17","T.18","T.19","T.20","T.21","T.22","T.23","T.24"
0.1,0.01,"robust",385,0,0.036,0.586938775510204,0.782857142857143,0.919880186312817,0.905660377358491,0.4664244815554,0.8,0.8,0.8,0.857142857142857,0.857142857142857,0.8,0.7,0.833333333333333,0.846153846153846,0.894736842105263,0.85,0.772727272727273,0.782608695652174,0.814814814814815,0.885714285714286,0.923076923076923,0.877551020408163,0.847457627118644,0.847222222222222,0.916666666666667,0.96039603960396,0.966386554621849,0.972972972972973,0.934131736526946,0.928571428571429,0.938650306748466,0.938356164383562,0.908333333333333,0.897959183673469,0.884615384615385,0.861538461538462,0.833333333333333,0.822222222222222,0.823529411764706,0.866666666666667,0.80952380952381,0.789473684210526,0.625,0.75,0.733333333333333,0.818181818181818,0.818181818181818,0.875,1,1,1,1,0.8,1
0.01,0.05,"robust",342,0,0.0066,0.428571428571429,0.888979591836735,0.947620870613609,0.935779816513762,0.133654749370827,0.923076923076923,0.923076923076923,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,0.909090909090909,0.909090909090909,0.833333333333333,0.952380952380952,0.95,1,1,0.944444444444444,1,1,1,1,1,0.941176470588235,0.9375,1,0.928571428571429,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,1,0.9,0.888888888888889,0.777777777777778
0.1,0.01,"robust",399,0,0.0298,0.56734693877551,0.735510204081633,0.88386142293683,0.8300803673938,0.480982671216928,1,1,1,1,1,0.9,0.916666666666667,0.846153846153846,0.866666666666667,0.875,0.888888888888889,0.9,0.962962962962963,1,0.970588235294118,0.95,0.956521739130435,0.942307692307692,0.938461538461538,0.9375,0.911111111111111,0.927272727272727,0.924657534246575,0.901162790697674,0.933884297520661,0.923529411764706,0.900709219858156,0.886792452830189,0.850574712643678,0.844155844155844,0.857142857142857,0.886792452830189,0.833333333333333,0.853658536585366,0.823529411764706,0.851851851851852,0.84,0.9,0.888888888888889,0.866666666666667,0.785714285714286,0.727272727272727,0.875,0.75,1,0.833333333333333,1,1,1
0.1,0.05,"robust",407,0,0.0382,0.637551020408163,0.818775510204082,0.908981890905828,0.889508928571429,0.357989549605076,1,1,1,1,1,1,0.75,0.833333333333333,1,1,1,0.941176470588235,0.952380952380952,0.958333333333333,0.925925925925926,0.885714285714286,0.911111111111111,0.933333333333333,0.971830985915493,0.977011494252874,0.933333333333333,0.960629921259842,0.95,0.920454545454545,0.85531914893617,0.935294117647059,0.935483870967742,0.943548387096774,0.950980392156863,0.94047619047619,0.940298507462687,0.949152542372881,0.977272727272727,0.944444444444444,0.967741935483871,0.962962962962963,1,1,1,0.928571428571429,1,0.857142857142857,0.857142857142857,0.857142857142857,0.8,0.8,0.8,0.75,0.666666666666667
0.01,0.01,"robust",322,0,0.389,0.146122448979592,0.846530612244898,0.959312086829713,0.836363636363636,0.131154285201883,0.777777777777778,0.8,0.9,0.9,0.909090909090909,1,1,0.916666666666667,0.857142857142857,0.857142857142857,0.866666666666667,0.866666666666667,0.8125,0.8125,0.823529411764706,0.833333333333333,0.833333333333333,0.842105263157895,0.80952380952381,0.761904761904762,0.772727272727273,0.772727272727273,0.772727272727273,0.739130434782609,0.652173913043478,0.80952380952381,0.80952380952381,0.8,0.833333333333333,0.833333333333333,0.882352941176471,0.941176470588235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.1,0.01,"robust",380,0,0.018,0.578775510204082,0.781224489795918,0.998008030927767,0.998850574712644,0.455079719095897,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.8,0.8,0.833333333333333,0.666666666666667,0.857142857142857,0.875,0.909090909090909,0.933333333333333,0.842105263157895,0.8,0.903225806451613,0.911764705882353,0.86046511627907,0.884615384615385,0.890625,0.901234567901235,0.89,0.902439024390244,0.927152317880795,0.906432748538012,0.915611814345992,0.933734939759036,0.889655172413793,0.889830508474576,0.855670103092783,0.829268292682927,0.82089552238806,0.785714285714286,0.755555555555556,0.763157894736842,0.757575757575758,0.75,0.695652173913043,0.75,0.733333333333333,0.692307692307692,0.75,0.818181818181818,0.777777777777778,0.714285714285714,0.666666666666667,0.6,0.8,0.333333333333333,0.333333333333333
0.01,0.1,"robust",361,0,0.2532,0.511836734693878,0.869387755102041,0.92021306629399,0.897196261682243,0.180259198444489,0.545454545454545,0.636363636363636,0.583333333333333,0.583333333333333,0.833333333333333,0.833333333333333,1,1,0.923076923076923,0.928571428571429,0.8,0.875,0.875,0.8125,0.941176470588235,0.941176470588235,0.894736842105263,0.95,0.952380952380952,0.952380952380952,1,0.952380952380952,1,0.863636363636364,0.727272727272727,0.857142857142857,0.904761904761905,0.80952380952381,0.75,0.85,0.842105263157895,0.888888888888889,0.8125,0.8125,0.875,0.857142857142857,0.785714285714286,0.833333333333333,0.909090909090909,0.909090909090909,0.9,0.777777777777778,0.888888888888889,0.857142857142857,0.857142857142857,0.714285714285714,0.571428571428571,0.833333333333333,0.833333333333333
0.1,0.1,"robust",442,0,0.0966,0.621224489795918,0.787755102040816,0.912865795765457,0.903508771929825,0.434319928078235,1,0.75,1,1,1,1,1,0.9,1,1,1,0.947368421052632,0.91304347826087,0.96,0.961538461538462,0.967741935483871,0.947368421052632,0.978723404255319,1,0.975,0.946808510638298,0.968,0.981012658227848,0.978260869565217,0.905349794238683,0.965909090909091,0.960264900662252,0.965811965811966,0.967032967032967,0.974025974025974,0.983050847457627,0.978723404255319,1,1,1,1,1,0.947368421052632,0.882352941176471,0.928571428571429,0.916666666666667,1,1,0.875,1,1,1,1,1
0.01,0.01,"robust",324,1,0.0972,0.16734693877551,0.892244897959184,0.910386500513043,0.9,0.0777348405504465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.941176470588235,0.882352941176471,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.823529411764706,0.866666666666667,0.846153846153846,0.833333333333333,0.833333333333333,0.8,0.875,1,1,1,1,1,1,1,1,1,1,1,1
0.1,0.01,"robust",160,0,0.2882,0.616326530612245,0.77469387755102,0.958387275479265,0.966421825813221,0.414308687297374,1,1,1,1,1,1,1,0.857142857142857,0.875,0.875,0.909090909090909,1,0.933333333333333,1,1,1,0.976190476190476,0.979591836734694,0.984126984126984,0.976470588235294,0.980952380952381,0.971014492753623,0.98159509202454,0.967914438502674,0.953846153846154,0.983606557377049,0.9875,0.985401459854015,0.980769230769231,0.963855421686747,0.984126984126984,0.96,0.955555555555556,0.945945945945946,0.916666666666667,0.894736842105263,0.882352941176471,0.928571428571429,0.923076923076923,0.909090909090909,0.857142857142857,0.833333333333333,0.8,0.8,0.8,1,1,1,1
0.1,0.01,"robust",396,8,0.1364,0.289795918367347,0.529795918367347,0.962994898922559,0.959630911188005,0.448276854190667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97029702970297,0.942622950819672,0.903846153846154,0.877906976744186,0.847533632286996,0.927710843373494,0.946666666666667,0.966942148760331,0.96969696969697,0.975,0.985507246376812,0.982758620689655,0.978260869565217,0.975609756097561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.05,"robust",262,0,0.004,0.330612244897959,0.903673469387755,0.917081843652704,NA,0.0763150564574051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1,0.05,"robust",418,0,0.0894,0.546122448979592,0.720816326530612,0.860747088314832,0.853600944510035,0.642219862893595,0.666666666666667,0.714285714285714,0.777777777777778,0.7,0.636363636363636,0.692307692307692,0.785714285714286,0.8,0.789473684210526,0.761904761904762,0.818181818181818,0.84,0.884615384615385,0.878787878787879,0.871794871794872,0.808510638297872,0.807017543859649,0.825396825396825,0.873239436619718,0.837209302325581,0.86734693877551,0.848739495798319,0.883561643835616,0.881656804733728,0.9,0.945121951219512,0.934782608695652,0.898148148148148,0.887640449438202,0.922077922077922,0.87719298245614,0.836734693877551,0.780487804878049,0.727272727272727,0.826086956521739,0.842105263157895,0.846153846153846,0.833333333333333,0.727272727272727,0.7,0.7,0.625,0.571428571428571,0.571428571428571,0.571428571428571,0.833333333333333,0.666666666666667,0.333333333333333,0.666666666666667
